,region1
2020-01-07 03:00:00,0.532890893
2020-01-07 04:00:00,0.558700826
2020-01-07 05:00:00,0.566354277
2020-01-07 06:00:00,0.502672691
2020-01-07 07:00:00,0.349131143
2020-01-07 08:00:00,0.405043742
2020-01-07 09:00:00,0.489047973
2020-01-07 10:00:00,0.49222786
2020-01-07 11:00:00,0.618939086
2020-01-07 12:00:00,0.450480239
2020-01-07 13:00:00,0.493073907
2020-01-07 14:00:00,0.540870597
2020-01-07 15:00:00,0.697211667
2020-01-07 16:00:00,0.779355869
2020-01-07 17:00:00,0.881154165
2020-01-07 18:00:00,0.833522467
2020-01-07 19:00:00,0.790012732
2020-01-07 20:00:00,0.796892931
2020-01-07 21:00:00,0.902156682
2020-01-07 22:00:00,0.794398652
2020-01-07 23:00:00,0.708848806
2020-01-08 00:00:00,0.683600541
2020-01-08 01:00:00,0.685199796
2020-01-08 02:00:00,0.804811626
2020-01-08 03:00:00,0.704800359
2020-01-08 04:00:00,0.618423553
2020-01-08 05:00:00,0.592805611
2020-01-08 06:00:00,0.515794094
2020-01-08 07:00:00,0.575812849
2020-01-08 08:00:00,0.759757382
2020-01-08 09:00:00,0.864296054
2020-01-08 10:00:00,0.874098451
2020-01-08 11:00:00,0.806391101
2020-01-08 12:00:00,0.769978159
2020-01-08 13:00:00,0.735320279
2020-01-08 14:00:00,0.681102956
2020-01-08 15:00:00,0.716946867
2020-01-08 16:00:00,0.785434455
2020-01-08 17:00:00,0.876592597
2020-01-08 18:00:00,0.824457886
2020-01-08 19:00:00,0.747643719
2020-01-08 20:00:00,0.73931192
2020-01-08 21:00:00,0.633616603
2020-01-08 22:00:00,0.652672193
2020-01-08 23:00:00,0.708789021
2020-01-09 00:00:00,0.675196364
2020-01-09 01:00:00,0.550071259
2020-01-09 02:00:00,0.540176014
2020-01-09 03:00:00,0.511751297
2020-01-09 04:00:00,0.451013276
2020-01-09 05:00:00,0.41201257
2020-01-09 06:00:00,0.389819344
2020-01-09 07:00:00,0.419136165
2020-01-09 08:00:00,0.380674362
2020-01-09 09:00:00,0.349467916
2020-01-09 10:00:00,0.273222656
2020-01-09 11:00:00,0.270676966
2020-01-09 12:00:00,0.350393569
2020-01-09 13:00:00,0.286836108
2020-01-09 14:00:00,0.253903343
2020-01-09 15:00:00,0.295140135
2020-01-09 16:00:00,0.285902925
2020-01-09 17:00:00,0.311584782
